dataset,bucket,n,hr_mean,hr_std,jerk_mean,jerk_std_,rmssd_mean
PAMAP2,light,120,96.07956068239979,12.678063545273591,119.35450983799032,59.51465721410196,0.2034894504317914
PAMAP2,moderate,101,124.9121698330233,8.361931139921492,444.72347764935984,254.71249271176617,0.17785633852095634
PAMAP2,rest,159,80.56541218244755,10.1622604538042,23.03674352020875,19.85536322112526,0.2129201198539506
PAMAP2,stairs,28,129.58047008196587,16.550592654895,86.27458079830289,25.964998096660096,0.3075424355221111
PAMAP2,vigorous,36,160.36727007034568,17.714057897939043,467.5396953904049,344.3031493444236,0.2136256918789664
PAMAP2,walking,68,112.79768942948728,9.146103899080101,60.36337473208914,9.968184292447189,0.16850413065318864
PPG-DaLiA,light,137,76.91320338140855,6.137883346048961,5.96341399184023,2.301760463756623,364.4681015660142
PPG-DaLiA,moderate,214,98.27992584131634,19.670088681669654,13.878374193212517,5.322858682308776,285.22604113681973
PPG-DaLiA,rest,2169,76.35806913752661,9.97378706196051,1.8473136726040424,1.3478873030047613,263.3093624166065
PPG-DaLiA,stairs,198,87.78819089693782,12.248847852706714,5.464330165565716,1.641049680851155,329.5090823856744
PPG-DaLiA,walking,297,83.64437628257741,7.160468502161296,4.913499674199704,1.1054252976130172,327.22884760775395
WESAD,rest,1093,71.70039663570512,7.483660942018539,40.721860029913046,34.24242997310098,239.60199336316578
WESAD,stress,313,78.53832132862331,10.713191259886946,128.00827102606726,108.01641454857412,353.14018022315054
mHealth,light,22,96.84508747094951,9.072691321061924,29.48647582818953,8.840743965127285,101.72534658009626
mHealth,moderate,9,99.45465696862394,9.05476775382553,161.79384983703028,41.131674148287374,59.95157825959458
mHealth,rest,27,74.2436873694331,13.595514727477878,8.376905693826467,2.856088732016143,67.30708406560949
mHealth,stairs,7,120.56049361454744,9.048899427677556,31.029955218243924,4.455300252779065,65.19472317787742
mHealth,vigorous,17,117.01726126448135,18.42364228233148,174.8868859236078,22.246134368445507,180.07433422912095
mHealth,walking,9,91.52506474831517,7.419758125843718,45.17008151631836,13.975446252610373,63.399527578292656
